model,cv_accuracy,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,best_params
Random Forest,0.8367,0.83,0.7894,0.6967,0.7238,0.8194,0.83,0.814,"{""classifier__max_depth"": null, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 50}"
Logistic Regression,0.8396,0.845,0.8077,0.7308,0.7571,0.8367,0.845,0.834,"{""classifier__class_weight"": null, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""liblinear""}"
